Time/s,Azimuth/deg,Zenith/deg
2.3262501680698127,-1.1345880161244584,9.659258262890683
2.552713008774914,-1.2450413236355355,9.58819734868193
2.77742634749466,-1.3546413420145942,9.510565162951535
3.000236176931375,-1.4633129568836811,9.426414910921784
3.2209897943575623,-1.5709816901462332,9.335804264972017
3.4395359062707276,-1.6775737510306457,9.238795325112868
3.655724732082387,-1.78301608666278,9.135454576426008
3.869408106770201,-1.8872364321327566,9.025852843498607
4.0804395824228825,-1.9901633600217123,8.910065241883679
4.2886745286082775,-2.0917263293545876,8.788171126619654
4.493970231495836,-2.191855733945384,8.660254037844387
4.6961859916655495,-2.290482950101772,8.526401643540922
4.8951832205363,-2.387540383656336,8.386705679454241
5.090825535347553,-2.482961516292246,8.241261886220157
5.282978852629289,-2.576680951131584,8.090169943749475
5.471511480096113,-2.668634457555101,7.933533402912351
5.656294206902576,-2.7587590152226755,7.771459614569709
5.837200392197829,-2.8469928572643046,7.6040596560003095
6.014106051918935,-2.9332755126120307,7.431448254773942
6.186889943763354,-3.0175478474437933,7.253743710122876
6.355433650282369,-3.0997521057107966,7.0710678118654755
6.5196216600384735,-3.1798319487206186,6.88354575693754
6.679341446771156,-3.257732493748937,6.691306063588582
6.834483546516772,-3.333400351653409,6.494480483301837
6.984941632629676,-3.406783663463921,6.2932039104983755
7.130612588653194,-3.4778321359241353,6.087614290087206
7.271396578990497,-3.5464970759599788,5.877852522924732
7.4071971173269215,-3.612731424051441,5.664062369248328
7.5379211327568845,-3.67648978648482,5.446390350150271
7.663479033570015,-3.737728466463304,5.224985647159489
7.783784768652857,-3.7964054940545773,5.000000000000001
7.89875588646399,-3.8524806549549115,4.771587602596084
8.0083135915422,-3.9059155180500422,4.539904997395468
8.112382798508955,-3.956673461753934,4.3051109680829525
8.210892183528177,-4.00471969910739,4.067366430758002
8.303774233188024,-4.0500213016192905,3.8268343236508984
8.390965290771222,-4.092547221834138,3.583679495453004
8.472405599882194,-4.132268314610436,3.338068592337709
8.54803934540111,-4.169157357095308,3.0901699437494745
8.617814691736779,-4.203189067381684,2.840153447039228
8.681683818352182,-4.234340121835255,2.5881904510252074
8.73960295253827,-4.2625891710793296,2.334453638559055
8.791532399413594,-4.287916854626625,2.0791169081775944
8.837436569129204,-4.310305814147986,1.8223552549214745
8.87728400126014,-4.329740705368909,1.5643446504023093
8.91104738636684,-4.346208208585747,1.305261922200517
8.938703584711675,-4.359697037794363,1.0452846326765346
8.960233642117753,-4.370197948425002,0.78459095727845
8.975622802959183,-4.377703743678048,0.5233595624294397
8.984860520273827,-4.38220927945636,0.2617694830787314
8.987940462991673,-4.383711467890769,6.123233995736766e-16
-9.876883405951377,1.56434465040231,6.123233995736766e-16
-9.873498844688823,1.5638085885609965,0.2617694830787314
